	n	NRMSE
1	20	0.545961834171947
2	40	0.101268052823433
3	60	0.209927813331237
4	80	0.231958445185251
5	100	0.225123956297379
6	20	0.2325628005659
7	40	0.228032859530144
8	60	0.228303263578525
9	80	0.228379686766418
10	100	0.227200745993538
11	20	0.236137067991417
12	40	0.232229654057446
13	60	0.222444119003869
14	80	0.219009927198442
15	100	0.229086733348807
16	20	0.244078359027777
17	40	0.227951256534454
18	60	0.230914500741004
19	80	0.222277581089877
20	100	0.230667318569395
21	20	0.229834573914569
22	40	0.229591945292368
23	60	0.228580758305149
24	80	0.22868643475157
25	100	0.223892910271237
26	20	0.229843898154492
27	40	0.226237011955027
28	60	0.238819705354627
29	80	0.225015356105869
30	100	0.22194605229431
31	20	0.218589086235352
32	40	0.227122788323749
33	60	0.232583587783553
34	80	0.217970548822617
35	100	0.227998780023841
36	20	0.234474771386604
37	40	0.228789731972324
38	60	0.22419160395811
39	80	0.227324178975425
40	100	0.227450390669647
41	20	0.229968713453264
42	40	0.215305008871033
43	60	0.22220768979463
44	80	0.223634637805109
45	100	0.232106970186038
46	20	0.222096180271455
47	40	0.229122649867766
48	60	0.217790406777771
49	80	0.228657082576198
50	100	0.221235854886924
51	20	0.218030122655721
52	40	0.224226438164304
53	60	0.228149640680362
54	80	0.224922918823271
55	100	0.232903014870179
56	20	0.221614783830138
57	40	0.233346978759077
58	60	0.230771269277175
59	80	0.22180151627388
60	100	0.230252415149935
61	20	0.227228472700107
62	40	0.233265340706818
63	60	0.230251245783165
64	80	0.217088123852895
65	100	0.224463013939612
66	20	0.23824668261718
67	40	0.22702105400339
68	60	0.227425415049015
69	80	0.226768158284955
70	100	0.22321095842274
71	20	0.217350014634843
72	40	0.216675404295214
73	60	0.228848419866721
74	80	0.225502660019155
75	100	0.221802043276803
76	20	0.21205885107017
77	40	0.226493035801216
78	60	0.224648089517446
79	80	0.22456889434527
80	100	0.22180357954526
81	20	0.223889486344174
82	40	0.222225290258077
83	60	0.232255098567461
84	80	0.219211763798414
85	100	0.219599784051308
86	20	0.225341816419901
87	40	0.222226083947084
88	60	0.223911715243696
89	80	0.228149709550894
90	100	0.228137239422862
91	20	0.214225295145868
92	40	0.235375109877248
93	60	0.221169747191149
94	80	0.226913654072334
95	100	0.227443342565912
96	20	0.224132210675087
97	40	0.231990867942841
98	60	0.216816071740122
99	80	0.229025643991153
100	100	0.230592501704269
